"session","created","modified","ended","expired","satisfaccion_vida","familia_1","familia_2","familia_3","familia_3b","familia_4","e_civil","edad","carrera","anho_curs","pos_pol","opcion_pleb","interes_const","nacionalidad_1","nacionalidad_2","residencia","educ_padre","educ_madre","feedback"
"","2022-10-25 20:22:34","","","","","","","","","","","","","","","","","","","","","",""
"itrXwZwPSWlCRJuBhTVQterPc5ScoghDxaneuX3wWkGg-lv4DxcYrkY_TAGucf_C","2022-10-26 13:07:21","2022-10-26 13:08:22","2022-10-26 13:08:22","","6","5","2","2","","2","2","34","2","","6","2","4","","chileno","ñuñoa","","",""
"","2022-10-26 13:31:34","","","","","","","","","","","","","","","","","","","","","",""
"rIDXNAfwMTAD-8vXR8GHSyRaALDkLk5MWwlVi988_dfmdP6wCuEIlcOT7jodxAor","2022-10-26 18:19:26","2022-10-26 18:20:56","2022-10-26 18:20:56","","6","2","2","2","","1","2","25","2","","3","4","3","","Chile","Providencia","","",""
"jaw9dB7BrFWbb8qogprHvYV6A6tVs7F1tCmXW2canz0_U8PGgvvaWjmhRXpd5g-6","2022-10-27 13:52:54","","","","","","","","","","","","","","","","","","","","","",""
"JeompKt-0bUnIN6gv879Ujghf5dSnLt0x7q7ijHpZ04puX5Rvgm8KeJR39Qqt27_","2022-10-28 15:39:13","2022-10-28 15:41:01","2022-10-28 15:41:01","","6","5","2","2","","1","1","22","4","","3","1","5","","chilena","san antonio","","",""
"pAeFcoeFvF6i5NKVaiT_WY235k41tAqu-27X04jwIPAydzFg_AIIsOW1iihxLEgd","2022-11-07 16:37:36","2022-11-07 16:38:38","2022-11-07 16:38:39","","4","3","1","2","","2","2","13","2","","5","2","5","","chi","dd","","",""
"ipQ37SeIRFF8vKVPfftf1CXbxW_DWIuLkMa6H0r2adNjde4w-UuNoT_Mk3w8Xk7O","2022-11-07 19:30:30","2022-11-07 19:31:11","2022-11-07 19:31:11","","6","2","2","2","2","2","2","22","1","","5","3","3","","222","222","","",""
"nOVbWatuyq2a9G61Eb_9Y4qZx8VHZZp0GifDotxCVSaNo6FQMAANPuqS85-aRpZK","2022-11-07 20:23:29","2022-11-07 20:26:14","2022-11-07 20:26:14","","10","2","2","2","","1","1","21","4","","3","1","4","","Chilena","Santiago, Chile","","",""
"oQb2tn1_GX02LTy6hTfVUtO9NW5TF3ghqmTgAYOg-ybA1VIOu4WyGPQfRAJ6tG3n","2022-11-08 23:46:44","2022-11-08 23:48:41","2022-11-08 23:48:41","","8","4","2","2","","1","1","26","3","","2","1","4","","Chilena","Santiago","","",""
"2Vphslrs1mfFW-3jqFNOB5d0K4BIOej3toUuvuLTSAXG7FWTFQDjHrdw6Y97R5qh","2022-11-09 16:52:15","2022-11-09 16:56:34","2022-11-09 16:56:34","","8","7","2","2","","1","1","21","4","","1","1","3","","Chileno","Maipú","","",""
"gWT5JYc0zZu079DaY01X0lkid7D1NO9i-xzZ6dW5blzVC-FBOhf3uuKNTloZKp45","2022-11-09 16:52:16","2022-11-09 16:56:22","2022-11-09 16:56:22","","5","4","2","2","","1","1","20","4","","2","1","5","","Chilena","Maipú","","",""
"nFJ8u5BTuHEwn_w34ZXOpUMUuHO3Tum3SUhVzmysj3jNk2rHINcPAeojXWGmXiKs","2022-11-09 18:18:50","2022-11-09 18:20:54","2022-11-09 18:20:54","","7","4","2","2","","1","1","20","5","","3","1","4","","Chilena","Santiago","","",""
"9w49hjErbgNS-y60uwYkeRmXKBTXtSvlIczre7v0ZhA02m2hZOMD3fI__7jx5syV","2022-11-09 18:50:42","2022-11-09 18:53:03","2022-11-09 18:53:03","","8","3","2","2","","2","1","18","4","","4","1","4","","Boliviano","Chile - Santiago - Ñuñoa","","",""
"vbPNRKpRf0wyQllX37Pm_1BMMfpvXymCPaF3D0HS2JC_uDHEJI24mV_MynRTsE-i","2022-11-09 18:51:02","2022-11-09 18:57:49","2022-11-09 18:57:49","","10","4","2","2","","1","1","22","4","","2","1","5","","Chilenx","Stgo. Peñalolen","","",""
