"session","created","modified","ended","expired","pregunta1","cuidado_tiempo","cuidado_1","cuidado_2","cuidado_3","cuidado_4","cuidado_5","cuidado_6","cuidado_7","cuidado_8","cuidado_9","cuidado_10","cuidado_11","cuidado_12","cuidado_multiple"
"","2022-10-20 21:39:03","","2022-10-20 21:39:03","","","","","","","","","","","","","","","",""
"","2022-10-20 21:40:45","","2022-10-20 21:40:45","","","","","","","","","","","","","","","",""
"","2022-10-20 21:42:46","","2022-10-20 21:42:46","","","","","","","","","","","","","","","",""
"","2022-10-20 21:42:55","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:43:24","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:45:00","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:45:13","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:46:50","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:47:37","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:49:44","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:49:52","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:52:05","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:53:25","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:53:36","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:54:06","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:55:14","","","","","","","","","","","","","","","","","",""
"","2022-10-20 21:56:09","2022-10-21 01:39:12","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:04:30","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:09:55","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:18:11","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:20:35","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:21:21","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:23:00","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:24:18","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:25:06","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:25:41","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:26:48","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:31:03","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:33:00","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:35:10","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:37:04","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:38:13","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:41:17","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:48:43","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:50:53","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:51:26","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:51:57","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:52:19","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:52:31","","","","","","","","","","","","","","","","","",""
"","2022-10-21 02:53:47","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:19:18","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:25:18","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:32:07","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:34:30","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:42:44","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:46:34","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:48:11","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:49:55","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:50:07","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:50:47","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:51:42","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:52:24","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:54:46","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:55:59","","","","","","","","","","","","","","","","","",""
"","2022-10-21 17:58:05","","","","","","","","","","","","","","","","","",""
"","2022-10-21 18:02:57","","","","","","","","","","","","","","","","","",""
"","2022-10-21 18:07:21","","","","","","","","","","","","","","","","","",""
"","2022-10-21 18:08:10","","","","","","","","","","","","","","","","","",""
"","2022-10-22 01:44:06","","","","","","","","","","","","","","","","","",""
"","2022-10-22 01:50:05","","","","","","","","","","","","","","","","","",""
"","2022-10-22 01:50:20","","","","","","","","","","","","","","","","","",""
"","2022-10-24 22:49:55","2022-10-24 22:51:13","","","","","","","","","","","","","","","","",""
"","2022-10-25 00:52:57","","","","","","","","","","","","","","","","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-10-25 20:14:59","2022-10-26 13:32:48","2022-10-26 13:32:55","","","","","","","","","","","","","","","",""
"vw-M0ZzGVQaq9T7wXeOEVdK1CODpGEnyl38rQYLLESdLczT4sJZA1HAQkuMS9rdD","2022-10-25 20:45:43","2022-10-25 20:49:55","","","","","","","","","","","","","","","","",""
"R-LPIEmjbiH0Jqm6k-q7wnO8PFDWgri5eey6lRlf7digZSKPQoWISMsLrmxclfOi","2022-10-25 20:46:49","2022-10-25 20:47:19","2022-10-25 20:47:19","","","","1","1","2","1","1","3","3","2","2","1","1","2",""
"itrXwZwPSWlCRJuBhTVQterPc5ScoghDxaneuX3wWkGg-lv4DxcYrkY_TAGucf_C","2022-10-26 13:02:16","2022-10-26 13:02:39","2022-10-26 13:02:39","","","","2","4","3","3","3","3","3","3","3","2","3","2",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-10-26 13:32:56","2022-10-26 14:07:08","2022-10-26 14:07:33","","","","","","","","","","","","","","","",""
"AvjEXY5j3ddgt5hxavXSwliq8J6UvZ6r5nMvUGpZovwOGQ1jJxgoyxKV_2z8VJ01","2022-10-26 14:00:45","","","","","","","","","","","","","","","","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-10-26 14:13:39","2022-10-26 14:14:02","2022-10-26 14:14:04","","","","","","","","","","","","","","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-10-26 14:14:04","2022-10-26 14:14:11","2022-10-26 14:14:13","","","","","","","","","","","","","","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-10-26 14:14:13","","2022-10-26 14:14:19","","","","","","","","","","","","","","","",""
"WSd5S0ICdIBVrbpzgq2vXiTy4YDB0d1d6qrnodWHVZnY-xCd0wRCbzjjMxOr5KMw","2022-10-26 16:35:25","2022-10-26 16:36:52","2022-10-26 16:36:52","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
"rIDXNAfwMTAD-8vXR8GHSyRaALDkLk5MWwlVi988_dfmdP6wCuEIlcOT7jodxAor","2022-10-26 18:16:19","2022-10-26 18:16:47","2022-10-26 18:16:47","","","","1","2","2","3","3","1","2","2","2","3","1","2",""
"","2022-10-26 18:28:09","","","","","","","","","","","","","","","","","",""
"","2022-10-26 18:29:45","","","","","","","","","","","","","","","","","",""
"","2022-10-26 18:34:01","","","","","","","","","","","","","","","","","",""
"","2022-10-26 18:34:35","","","","","","","","","","","","","","","","","",""
"","2022-10-26 18:36:03","","","","","","","","","","","","","","","","","",""
"","2022-10-26 18:36:41","","","","","","","","","","","","","","","","","",""
"","2022-10-26 18:38:07","","","","","","","","","","","","","","","","","",""
"jaw9dB7BrFWbb8qogprHvYV6A6tVs7F1tCmXW2canz0_U8PGgvvaWjmhRXpd5g-6","2022-10-27 13:45:25","2022-10-27 13:46:22","2022-10-27 13:46:22","","","","1","1","1","1","1","2","2","2","1","1","1","2",""
"3Xncrd1Zd678wX325bjc-PSW3iXqT0pxkbDUT8PQ_JKsVcQoaX2n6d4SC5-M69x9","2022-10-27 14:19:07","2022-10-27 14:21:39","2022-10-27 14:21:39","","","","3","3","3","3","5","3","3","3","3","3","3","3",""
"aPzh9hpaxcDISfoxNnO45vp4T2Mc2lavUG9DUKPMO0jdmVylCXhIOvAz54Bq8NLX","2022-10-27 14:28:04","2022-10-27 14:28:22","2022-10-27 14:28:22","","","","7","7","7","7","7","7","7","7","7","7","7","7",""
"","2022-10-27 16:46:08","","","","","","","","","","","","","","","","","",""
"Ol0als8riQ08YddGU9yPeSIJxncgZALro6as2mJ196yTsMNbg7zlju3RtV3wFkyb","2022-10-27 19:34:21","2022-10-27 19:35:38","2022-10-27 19:35:38","","","","4","1","1","1","1","3","3","1","1","1","1","1",""
"JeompKt-0bUnIN6gv879Ujghf5dSnLt0x7q7ijHpZ04puX5Rvgm8KeJR39Qqt27_","2022-10-28 15:23:37","2022-10-28 15:25:50","2022-10-28 15:25:50","","","","1","3","1","1","3","3","3","1","3","1","3","1",""
"BGHBynjVrzVBuHEk4XbOBpivXqGrepRZqkM7wf4kqJcEwIj80KuaZKZhuwye2Zl1","2022-11-06 23:42:54","2022-11-15 04:22:26","2022-11-15 04:22:26","","1","","","","","","","","","","","","","",""
"pAeFcoeFvF6i5NKVaiT_WY235k41tAqu-27X04jwIPAydzFg_AIIsOW1iihxLEgd","2022-11-07 13:53:21","2022-11-07 13:54:15","2022-11-07 13:54:15","","","","5","5","5","5","5","5","5","5","5","5","5","1",""
"zanyKoalaXXX1YtFPQVI5EZHfb8avioqdari6eeW814bO_jnqoAd12EM5uZe_Gxk","2022-11-07 19:09:10","","2022-11-07 19:09:37","","","","","","","","","","","","","","","",""
"ipQ37SeIRFF8vKVPfftf1CXbxW_DWIuLkMa6H0r2adNjde4w-UuNoT_Mk3w8Xk7O","2022-11-07 19:28:06","2022-11-07 19:28:27","2022-11-07 19:28:27","","","","3","3","3","3","3","3","3","3","3","3","3","3",""
"nOVbWatuyq2a9G61Eb_9Y4qZx8VHZZp0GifDotxCVSaNo6FQMAANPuqS85-aRpZK","2022-11-07 19:59:48","2022-11-07 20:02:30","2022-11-07 20:02:30","","","","1","1","1","1","1","1","1","1","1","1","4","1",""
"oQb2tn1_GX02LTy6hTfVUtO9NW5TF3ghqmTgAYOg-ybA1VIOu4WyGPQfRAJ6tG3n","2022-11-08 22:00:30","2022-11-08 22:03:05","2022-11-08 22:03:05","","","","1","1","1","1","1","3","2","1","1","2","1","1",""
"2Vphslrs1mfFW-3jqFNOB5d0K4BIOej3toUuvuLTSAXG7FWTFQDjHrdw6Y97R5qh","2022-11-09 16:16:01","2022-11-09 16:21:47","2022-11-09 16:21:47","","","","2","1","1","1","2","2","1","2","2","2","3","2",""
"gWT5JYc0zZu079DaY01X0lkid7D1NO9i-xzZ6dW5blzVC-FBOhf3uuKNTloZKp45","2022-11-09 16:16:03","2022-11-09 16:21:50","2022-11-09 16:21:50","","","","1","1","1","1","1","1","1","1","1","1","2","1",""
"nFJ8u5BTuHEwn_w34ZXOpUMUuHO3Tum3SUhVzmysj3jNk2rHINcPAeojXWGmXiKs","2022-11-09 18:03:48","2022-11-09 18:05:33","2022-11-09 18:05:33","","","","1","1","1","1","1","3","1","2","1","1","1","1",""
"vbPNRKpRf0wyQllX37Pm_1BMMfpvXymCPaF3D0HS2JC_uDHEJI24mV_MynRTsE-i","2022-11-09 18:16:11","2022-11-09 18:23:28","2022-11-09 18:23:28","","","","1","1","1","1","1","4","1","1","2","2","3","1",""
"03RBzueWAifHMOGT3cwQQgC2Nq_tATxsSwDn5KsPEQtxjoMgoXNfGgKZoYUyRDQJ","2022-11-09 18:18:06","2022-11-09 18:21:37","2022-11-09 18:21:37","","","","1","2","1","1","1","5","2","1","1","1","2","1",""
"9w49hjErbgNS-y60uwYkeRmXKBTXtSvlIczre7v0ZhA02m2hZOMD3fI__7jx5syV","2022-11-09 18:34:40","2022-11-09 18:36:32","2022-11-09 18:36:32","","","","1","1","1","1","1","3","1","1","2","2","2","1",""
"psJjbfb3SHVXTN-Tp4Et8Dvb3k5MixNxV-p7dAXXlrfgW_a44BxeIi_1zcPwEPaL","2022-11-09 19:33:20","2022-11-09 19:35:27","2022-11-09 19:35:27","","","","1","1","1","1","1","5","1","1","2","2","2","2",""
"QiYMgXTMwvKpxj6bxNTcEHNXXia2J7TLck5FK0uhzqnu5JaOknUga32i7ak8qjWb","2022-11-09 19:34:26","2022-11-09 19:38:36","2022-11-09 19:38:36","","","","1","1","1","1","1","4","1","1","1","2","3","1",""
"XO7-i4Z5i-oyuoAz-2xh083Up57hBWsYCQO4e5biiHZAHVxPYFhx3vFgD81TutxK","2022-11-09 20:04:14","2022-11-09 20:06:13","2022-11-09 20:06:13","","","","3","2","2","1","4","5","1","1","3","5","5","5",""
"_JkNw6BMiTiuW6CgkHJBCH2-giKwo1gKB-i6HvpzXnU9_GYY5QgHZEljFh_eivtR","2022-11-09 21:01:57","2022-11-09 21:03:22","2022-11-09 21:03:22","","","","3","3","2","2","4","1","1","1","1","1","3","3",""
"BISLT9aGtVKaui-xW3z22y81x0N4aTO-Kyp1suDU1S6DoDEa6unu_ABgfb3abmNU","2022-11-09 21:11:46","2022-11-09 21:14:19","2022-11-09 21:14:19","","","","1","1","1","1","1","4","3","1","1","1","5","1",""
"lMH1F6vQhemtz40-6pW8kwchYx90kHnVw4LzinhKLbpUs9B1vRnSXmwA6q_PnKIw","2022-11-09 21:52:10","2022-11-09 21:54:25","2022-11-09 21:54:25","","","","1","1","1","1","1","4","1","1","1","1","2","2",""
"B4uyhDmYYP2zqQkAdOjj_6mWpt4WoskldYmW2EEqjZb6sX4FjUttqs1pGppVapWt","2022-11-09 21:53:13","2022-11-09 21:54:43","2022-11-09 21:54:43","","","","1","1","1","1","1","4","1","1","1","1","1","1",""
"sFNiBJMz2C18lqD6Bfe4TlV0hYrcIX4kTerea0yZ0W6YRI1cNbPjqOILlx8qat_f","2022-11-09 22:12:06","2022-11-09 22:13:16","2022-11-09 22:13:16","","","","1","1","1","1","1","3","1","2","1","1","1","1",""
"PiX92aq5AxDVHMIgirQCiu3tmSMzfdmRl6cQW-A2JjJ4OhYFplo5W1HLt0cKOtTJ","2022-11-09 22:24:23","2022-11-09 22:24:42","2022-11-09 22:24:42","","","","1","1","1","1","1","2","1","1","1","1","1","1",""
