"session","created","modified","ended","expired","id_genero","id_genero_otra","or_sexual","or_sexual_otra","sex_asignado","inter_sex","inst_01","inst_02","inst_03","interp_01a","interp_01b","interp_02a","interp_02b","interp_03a","interp_03b","interp_04","interp_05a","interp_05b","interp_06a","interp_06b","interp_07","tem_1","tem_2","tem_3","tem_4","hetcis_1","hetcis_2","hetcis_3","hetcis_4","hetcis_5"
"","2022-10-25 03:47:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 03:52:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 03:53:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 03:54:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 03:56:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 03:57:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 03:57:55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 03:58:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:03:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:04:38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:05:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:05:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:08:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:08:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:09:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:10:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:21:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:22:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:23:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:23:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:24:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:24:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:24:53","2022-10-25 04:25:17","2022-10-25 04:25:17","","6","","7","","2","2","6","6","6","5","5","5","5","6","6","6","6","6","6","6","6","2","4","2","2","6","6","6","6","6"
"","2022-10-25 04:25:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:27:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:27:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:27:38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:28:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:28:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:29:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:29:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:30:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:30:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:30:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
