"session","created","modified","ended","expired","Part_estudio","Part_estudio_otras","Tiempo_estudio","Tiempo_estudio2","Part_trabajorem","Tiempo_trabajorem","Part_trabajodom","Tiempo_trabajodom","Part_ocio","Tiempo_ocio","Part_personal","Part_personal_otra","Tiempo_personal"
"","2022-10-22 04:38:55","","","","","","","","","","","","","","","",""
"","2022-10-25 00:48:36","","","","","","","","","","","","","","","",""
"","2022-10-25 20:12:24","","","","","","","","","","","","","","","",""
"itrXwZwPSWlCRJuBhTVQterPc5ScoghDxaneuX3wWkGg-lv4DxcYrkY_TAGucf_C","2022-10-26 13:04:34","2022-10-26 13:05:57","2022-10-26 13:05:57","","","","3","4","4","1","2","3","3","3","3","","4"
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-10-26 14:16:48","","2022-10-26 14:17:19","","","","","","","","","","","","","",""
"WSd5S0ICdIBVrbpzgq2vXiTy4YDB0d1d6qrnodWHVZnY-xCd0wRCbzjjMxOr5KMw","2022-10-26 16:38:51","","","","","","","","","","","","","","","",""
"rIDXNAfwMTAD-8vXR8GHSyRaALDkLk5MWwlVi988_dfmdP6wCuEIlcOT7jodxAor","2022-10-26 18:18:11","2022-10-26 18:18:48","2022-10-26 18:18:48","","","","5","5","1","1","2","2","2","3","2","","5"
"jaw9dB7BrFWbb8qogprHvYV6A6tVs7F1tCmXW2canz0_U8PGgvvaWjmhRXpd5g-6","2022-10-27 13:49:09","2022-10-27 13:50:45","2022-10-27 13:50:45","","","","2","2","2","3","2","2","2","3","1, 2, 3","","4"
"aPzh9hpaxcDISfoxNnO45vp4T2Mc2lavUG9DUKPMO0jdmVylCXhIOvAz54Bq8NLX","2022-10-27 14:29:58","2022-10-27 14:30:14","2022-10-27 14:30:14","","","","7","7","3","7","4","7","4","7","5","","7"
"JeompKt-0bUnIN6gv879Ujghf5dSnLt0x7q7ijHpZ04puX5Rvgm8KeJR39Qqt27_","2022-10-28 15:33:01","2022-10-28 15:36:06","2022-10-28 15:36:06","","","","4","2","4","1","2","2","2","2","1, 2, 3","","2"
